序号,标题,链接,导演,主演,年份,国家,类型,评分,评价人数,简介
237,奇迹男孩,https://movie.douban.com/subject/26787574/,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭,8.6,588024人评价,世界不完美，爱会有奇迹。
238,萤火虫之墓,https://movie.douban.com/subject/1293318/,高畑勋 Isao Takahata,辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争,8.7,430369人评价,
239,战争之王,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情 犯罪,8.7,403539人评价,做一颗让别人需要你的棋子。
240,千年女优,https://movie.douban.com/subject/1307394/,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情,8.8,305889人评价,
241,步履不停,https://movie.douban.com/subject/2222996/,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,8.8,311806人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
242,血钻,https://movie.douban.com/subject/1428175/,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,411664人评价,每个美丽事物背后都是滴血的现实。
243,谍影重重2,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,8.7,386387人评价,谁说王家卫镜头很晃？
244,蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,,2018,美国,动作 科幻 动画 冒险,8.6,734983人评价,
245,魂断蓝桥,https://movie.douban.com/subject/1293964/,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争,8.8,302307人评价,
246,房间,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,392558人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
247,冰雪奇缘,https://movie.douban.com/subject/4202982/,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,2013,美国,喜剧 动画 奇幻 歌舞,8.5,783612人评价,
248,隐藏人物,https://movie.douban.com/subject/26615208/,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,2016,美国,剧情 传记 历史,8.9,257225人评价,
249,谍影重重,https://movie.douban.com/subject/1304102/,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,471159人评价,
250,弱点,https://movie.douban.com/subject/3552028/,约翰·李·汉考克 John Lee Hancock,桑德拉·布洛克 Sandra Bu...,2009,美国,剧情 家庭 传记 运动,8.7,346700人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
